Jogo,Ganhador,Historico
10,0,1512083574889908224
10,0,1295910792776124448
10,0,935622822586484784
10,0,719450040472700984
10,0,2953235455648467004
10,0,2737062673534684220
10,0,4970848088710450748
10,0,6772287939658780220
10,0,6411999969477529148
10,0,8213439820429921852
10,0,8429612602812141116
10,0,10231052454297210428
10,0,12464837903832714812
10,0,12248673917811953212
11,0,5259078464861896704
11,0,3313523425838104576
11,0,3529696207951890432
11,0,5907596811203516416
11,0,3817926584104654848
11,0,5619366435052861440
11,0,7276691097925728256
11,0,7060518315845498880
11,0,9294303731038042112
11,0,11095743586281207808
11,0,10735455890969475072
11,0,9078131365536086016
11,0,8717843397493929984
11,0,8501670616453888000
11,0,6412000389890848768
11,0,4754675727022700544
11,0,6700230766046820352
11,0,4466445350879442944
11,0,2088544747627853824
11,0,142989708603799680
11,0,2376775123779565697
11,0,4178214974727764353
11,0,6123770013751835009
11,0,8213440240853842305
11,0,10158995280146332033
11,0,12248665541605980545
12,0,5259078464861896704
12,0,7636979068113780736
12,0,7853151850294673408
12,0,9654591701377089536
12,0,9870764492080807936
12,0,11960434736360587264
12,0,13617761598256185344
12,0,11384116920568774656
12,0,13041442133196931072
12,0,12825304535455236096
12,0,11023882276693082112
12,0,13401783154822610944
12,0,11600413672618590208
12,0,13978315375381839872
13,0,5259078464861896704
13,0,3025293049686392832
13,0,3241465831800177664
13,0,5042905682748378112
13,0,2665005079496887296
13,0,431219664321121792
13,0,2088544327193464322
13,0,4466444930445086338
13,0,6700230345620885122
13,0,7060518315818913410
13,0,9294303731011456642
13,0,11095743586254622338
13,0,12753068524004871810
13,0,12536913334077132418
13,0,10735482279221956226
13,0,8501697001485143682
13,0,8141409031832374914
13,0,10231079259200720514
13,0,10447252075674242690
13,0,12248691995341917826
14,0,5259078464861896704
14,0,7636979068113780736
14,0,7853151850294673408
14,0,5907596811404836864
14,0,3817926584305975296
14,0,5619366435254181888
14,0,3241465832003084288
14,0,5042905682951284736
14,0,2665005079699793920
14,0,2448832297586010624
14,0,70931694334388992
14,0,431219664524028673
14,0,647392446637812483
14,0,1007680416827452167
14,0,1223853198941235983
14,0,3025293049889434399
14,0,4682617712761777951
14,0,6484057563710041887
14,0,6700230345828019999
14,0,9078130949088030495
14,0,8717842981045874463
14,0,8501670200005832479
14,0,6123769597291081503
14,0,4178214558269124383
14,0,4394387340382924575
14,0,2160601925207191327
15,0,5259078464861896704
15,0,3313523425838104576
15,0,1223853198738196480
15,0,1007680416624412688
15,0,2665005079496755224
15,0,719450040472701464
15,0,2953235455648467484
15,0,4754675306596666908
15,0,4970848088710516252
15,0,7348748691962269212
15,0,9006073354868166172
15,0,9366361327205289500
15,0,11600146746676022812
15,0,13689818073287560732
15,0,11312058207524294172
15,0,11095885975166324252
15,0,13329671665219997212
15,0,13113569251850391068
15,0,10735703832970858012
15,0,12825374197509721628
15,0,10447491186444144156
15,0,12248931106111819292
16,0,5259078464861896704
16,0,7348748691962068992
16,0,7564921474109407232
16,0,9366361325124714496
16,0,11023685992292024320
16,0,12825126118118129664
16,0,10735473483204263936
16,0,12536913471591415808
16,0,10159021664432816128
16,0,12248691925892464640
17,0,5259078464861896704
17,0,7060518315810357248
17,0,9006073354851188736
17,0,10807513207946870784
17,0,12753068384409878528
17,0,12536913194482139136
17,0,12176634020385521664
18,1,5259078464861896704
18,1,7636979068113780736
18,1,9294303731053232128
18,1,7348748696324145152
18,1,5547308845409501184
18,1,3889984182537682944
18,1,1800313955437780992
19,0,5259078464861896704
19,0,3025293049686392832
19,0,3241465831800177664
19,0,5042905682748378112
19,0,7276691097924275200
19,0,9654591701209451520
19,0,11311916372671728640
19,0,13401587149527452672
19,0,13617830300385414144
19,0,11960646375001426944
19,0,13906203613048736768
19,0,11672699672849681408
19,0,9294800169109687296
19,0,9078627391290870784
19,0,10735952056310696960
19,0,13113852797001272320
19,0,12753600011183721472
19,0,12537444821255982080
19,0,12177165647159364608
20,0,5259078464861896704
20,0,7348748691962068992
20,0,6988460721805983744
20,0,9078130948922671104
20,0,11311916366245920768
20,0,11095744133887950848
20,0,8717843805514235904
20,0,10807514033687887872
20,0,13041299586302607360
20,0,12825161988560912384
20,0,10447278977495334912
20,0,12248718897163010048
21,0,5259078464861896704
21,0,3313523425838104576
21,0,1512083574889908224
21,0,1295910792776124448
21,0,2953235455648466992
21,0,2737062673534684208
21,0,2376774703345045040
21,0,2160601921231261488
21,0,4394387336407027632
21,0,6484057563506970544
21,0,4106156960259542960
21,0,6195827187359469488
21,0,8141382226385620912
21,0,8501670196843696048
21,0,8717842979494350768
21,0,7060518317695750064
21,0,9006073356736581552
21,0,9366361329073704880
21,0,9582534115482455984
21,0,11960434727324012464
21,0,11600148956157628336
21,0,11383977273555472304
21,0,13329532862335340464
